#{"t_start": 1778597934.5753849, "env_id": "LunarLander-v3"}
r,l,t
-92.095143,637,386.384477
159.035396,687,387.408762
-125.20183,376,389.344587
-146.986416,657,390.301927
1.335435,1000,391.741542
144.641331,606,394.051877
105.326489,806,395.27894
-71.655099,339,395.781295
-101.902798,542,397.979918
-223.338257,712,399.041604
-74.736156,206,399.334953
8.491935,1000,400.83494
9.199298,1000,409.527856
-103.351171,424,410.14415
173.956402,685,411.130351
144.721494,708,413.702258
-63.379616,324,414.186146
-24.637811,1000,415.677271
-52.197572,223,417.29694
179.757978,592,418.138606
173.640452,516,418.888612
-54.684754,294,419.299905
-120.673122,403,419.88482
151.038853,751,422.370701
-80.268374,388,422.966592
136.151439,503,423.731993
-132.666501,537,425.923584
157.123842,669,426.942019
-69.061818,373,427.483027
231.51697,812,428.673902
159.564887,559,436.952884
-111.483918,372,437.503478
-131.108131,404,438.09423
-112.699004,693,439.138809
-96.674866,328,440.968612
-144.669991,600,441.849629
-56.78181,537,442.673675
-157.875487,411,443.276521
1.936833,1000,446.155195
148.004015,589,447.037036
70.424226,1000,449.80441
-53.003197,481,450.546926
-62.137036,201,450.849807
-70.462401,379,451.414521
207.178895,777,452.634758
-103.570211,435,454.67373
128.869571,998,456.148876
132.426578,570,462.967372
158.358286,583,465.163682
176.971767,466,465.854046
-62.557669,481,466.568782
159.722534,473,467.275645
225.70989,620,469.488786
66.637595,1000,470.936721
-81.243093,466,471.616659
-60.452248,488,473.684474
-74.411705,416,474.260421
162.498331,545,475.023627
185.224139,513,475.739046
184.675786,607,477.971591
173.12045,593,478.812306
24.39707,1000,481.639058
118.600872,755,482.752216
177.034595,684,483.746417
153.52288,592,490.473571
-85.119683,355,492.344822
156.936208,596,493.200161
44.104273,1000,494.629643
174.769313,696,497.018219
-67.784914,192,497.296591
141.334468,661,498.221447
-106.604151,478,498.919575
-65.672961,281,500.650571
-89.842086,356,501.146533
-178.264753,648,502.078884
155.798919,751,503.180293
-92.594794,247,504.833032
199.275425,655,505.796736
-44.700436,1000,507.263648
59.753713,1000,510.116732
117.483558,866,517.420883
170.707577,622,519.652506
55.741798,857,520.954904
76.975634,812,522.165771
-57.715021,202,522.470988
134.927389,782,524.982695
109.782557,749,526.105914
108.40117,1000,528.941592
169.915419,832,530.196554
-104.614898,591,531.075703
-61.07547,236,532.916571
198.427307,581,533.8113
