#{"t_start": 1778599250.2694674, "env_id": "LunarLander-v3"}
r,l,t
-44.591764,110,51.507804
-66.992633,148,51.618523
-18.100347,76,51.677067
-149.047572,192,51.843465
-73.024046,112,51.927286
-119.206797,100,52.005888
-40.145511,529,52.429979
-2.256606,125,52.534298
-17.816021,121,52.632054
-18.758989,84,52.696023
-31.156913,78,52.753829
-21.128867,111,52.839568
-76.332824,402,53.153168
-74.103837,107,53.232698
-61.577127,95,53.305618
-29.539477,108,53.388777
-24.914726,80,53.453804
-39.455172,110,53.545804
-4.816918,160,53.689583
-41.641656,90,53.762391
-8.001012,108,53.856191
-83.437731,113,53.951577
7.850181,84,54.020013
-48.371712,83,54.086348
-32.361267,108,54.170491
-100.647752,94,54.248654
-55.518962,116,54.339584
-58.053478,123,54.442357
-136.368185,354,59.418695
-49.115428,94,59.496673
-49.997935,91,59.574731
-19.269393,127,59.689404
-0.15171,84,59.762968
7.813996,112,59.860507
-52.823519,123,59.973232
-160.181363,140,60.096886
-43.217244,126,60.205776
-130.099302,107,60.296769
-73.791379,110,60.378352
15.164834,141,60.504166
-169.512766,89,60.58386
-41.398989,132,60.692967
-0.322026,125,60.811263
-44.031383,87,60.888127
-2.228685,81,60.956288
-71.382226,73,61.014095
-24.707772,163,61.154204
-184.704892,158,61.293715
-13.093476,128,61.406157
19.561383,94,61.480816
-54.419117,115,61.584831
-12.773634,88,61.662895
-57.381326,110,61.749235
-32.746225,103,61.840379
-35.532547,120,61.941372
-82.052232,93,62.026631
-85.70148,92,62.104666
-41.340535,108,62.188685
-57.899441,94,62.270009
-38.500262,111,62.36055
5.29524,91,62.444464
-14.482547,94,62.519759
-7.553416,86,62.600379
-61.336193,94,62.682794
-72.126627,74,62.739663
-112.868885,120,62.842772
-40.341498,83,62.912805
11.539291,125,63.018676
8.197594,85,63.09246
-39.683289,136,63.206352
-50.665787,82,63.282381
17.025762,134,63.400442
16.889746,92,63.483404
-13.976853,139,63.600389
-37.919109,116,63.692485
19.236597,155,63.828423
-70.912508,102,63.911758
-46.461543,107,64.005823
14.577224,80,64.076651
-5.234701,124,64.183156
-71.232101,119,64.284144
-24.187951,155,64.415759
-3.458936,125,64.52057
-34.317088,108,64.61382
-153.699244,1000,65.448364
11.812972,475,65.865556
-2.904557,123,65.972923
-0.212638,90,66.056782
-23.410159,166,66.200398
26.304324,82,66.266375
-45.901867,77,66.334331
-11.733174,108,66.436692
-38.779064,99,66.52211
-0.033529,116,66.61242
-157.141747,738,67.250485
30.789365,105,67.341294
57.436114,1000,72.871645
-29.573027,607,73.409182
-10.904842,90,73.485162
-17.301635,115,73.588845
-271.368722,961,74.432142
-41.434363,116,74.526547
-168.780558,129,74.644536
4.462692,96,74.732104
-96.810857,727,75.372628
-61.45778,206,75.551461
22.145906,138,75.676575
-87.375098,122,75.786569
-3.982502,141,75.905786
-60.216197,1000,76.786596
-20.181411,1000,77.736537
7.69353,127,77.855424
-3.894558,139,77.976564
-51.991716,122,78.084913
-25.666491,224,78.287286
16.098443,117,78.389699
0.841479,148,78.517858
-119.021247,1000,79.436604
-63.51847,1000,80.38935
-54.200905,1000,81.300184
-32.030657,1000,85.939655
125.667641,1000,86.862376
-3.312601,1000,87.761195
-27.947941,1000,88.693483
-33.711412,1000,89.625461
-33.099427,1000,90.527697
-38.653536,1000,91.468113
-71.061119,1000,92.392124
-42.542458,1000,93.329715
-45.308124,1000,94.30615
-4.378241,1000,97.797874
-134.257979,587,98.394675
-13.885877,1000,99.388592
-219.0258,832,100.20438
-7.992134,1000,101.18376
-55.363286,1000,102.156252
-76.02065,323,102.457903
-55.424068,1000,103.437307
-20.914274,1000,104.424404
-37.097911,1000,105.403342
26.838246,1000,106.370452
13.349332,1000,111.952804
-3.64266,1000,112.930686
-28.539586,1000,113.936595
24.641399,1000,114.940264
23.952013,1000,115.9683
-10.702276,1000,116.978173
9.114803,1000,118.014132
2.633039,1000,118.979833
3.333951,1000,119.962925
0.869891,1000,120.952656
-11.457388,1000,126.480503
-35.830431,1000,127.512608
-26.752091,1000,128.555581
-62.395544,1000,129.572848
-47.269088,1000,130.618716
-15.131994,1000,131.624331
-33.598793,1000,132.632667
-38.611096,1000,133.643664
-61.411761,1000,134.660823
-78.094505,1000,135.696281
-70.617793,1000,141.366125
-36.13535,1000,142.354784
-62.12203,1000,143.334619
-28.047889,1000,144.311708
9.913912,1000,145.311299
-40.319613,1000,146.279884
-6.087715,1000,147.255905
10.410438,1000,148.264023
2.973292,1000,149.319266
-18.293574,1000,150.379919
-17.844898,1000,156.015296
23.858977,1000,156.988425
10.733468,1000,157.990478
-41.022482,1000,158.998474
6.180436,1000,159.991336
-3.888577,1000,161.00371
-24.640017,1000,162.054388
-17.78832,1000,163.127723
-17.018464,1000,164.177965
-19.189832,1000,165.20682
-37.96139,1000,170.883296
-26.624995,1000,171.905513
-52.946663,1000,172.927606
18.287517,1000,173.962354
-28.710844,1000,174.998829
-33.100731,1000,176.032509
4.924296,1000,177.041614
19.612807,1000,178.073128
-9.898956,1000,179.111498
-35.732379,1000,180.176741
11.547693,1000,185.520394
-12.161503,1000,186.527161
-49.938513,1000,187.510292
-37.38475,1000,188.504485
-55.791828,1000,189.482489
-34.792642,1000,190.459535
-9.694779,1000,191.434674
-47.813185,1000,192.412519
-49.581778,1000,193.465914
-52.993591,1000,194.531497
15.851482,1000,200.238902
-35.649058,1000,201.239105
-34.38862,1000,202.234395
-24.867554,1000,203.212344
-18.884097,1000,204.200194
-7.807,1000,205.17691
-18.178228,1000,206.194571
152.184246,996,207.255651
15.599329,1000,208.289566
-12.269519,1000,209.334355
11.911932,1000,214.953768
-48.520529,1000,216.016142
-0.509497,1000,217.028762
4.977072,1000,218.06119
-39.478079,1000,219.095383
-56.129956,1000,220.106994
3.834799,1000,221.086954
-35.347089,1000,222.097868
-64.631397,1000,223.114278
30.554721,1000,224.102682
13.364754,1000,229.596952
11.174309,1000,230.633826
2.670916,1000,231.695331
17.617782,1000,232.696281
-33.002697,1000,233.679724
-14.914552,1000,234.658364
24.213221,1000,235.629683
-44.964243,1000,236.615476
-38.129098,1000,237.620214
9.400153,1000,238.611312
-25.923019,1000,243.924569
-2.700864,1000,244.983366
11.985619,1000,245.98527
-5.243582,1000,246.997833
-177.533472,760,247.775519
-35.895544,1000,248.808824
0.937956,1000,249.82153
-33.017172,1000,250.84174
-26.582148,1000,251.847632
-30.027928,1000,252.859897
-5.006094,1000,258.270325
